Renewable2021	Electricity2021	GeoAreaCode	GeoAreaName	id	Continent	GDP
3.12	70.2	434	Libya	LBY	Africa	5791.254976
53.61	100	438	Liechtenstein	LIE	Europe	197504.585
33.22	100	440	Lithuania	LTU	Europe	23971.04402
20.51	100	442	Luxembourg	LUX	Europe	133867.1903
83.61	35.1	450	Madagascar	MDG	Africa	503.3520811
71.08	14.2	454	Malawi	MWI	Africa	628.6945059
7.48	100	458	Malaysia	MYS	Asia	11109.26828
1.38	100	462	Maldives	MDV	Asia	10076.31726
71.16	53.4	466	Mali	MLI	Africa	881.5100886
8.62	100	470	Malta	MLT	Europe	34337.43358
12.06	99.8	584	Marshall Islands	MHL	Oceania	6172.144257
22.08	47.7	478	Mauritania	MRT	Africa	2166.044797
8.61	99.6	480	Mauritius	MUS	Africa	8835.40001
12.97	100	484	Mexico	MEX	North America	10363.19255
2.08	83.6	583	Micronesia (Federated States of)	FSM	Oceania	3571.336769
-100	100	492	Monaco	MCO	Europe	235132.7456
3.03	100	496	Mongolia	MNG	Asia	4566.140131
39.64	99.8	499	Montenegro	MNE	Europe	9334.285937
10.9	100	504	Morocco	MAR	Africa	3824.996302
76.86	31.5	508	Mozambique	MOZ	Africa	504.0377872
62.86	72.5	104	Myanmar	MMR	Asia	1332.445577
29.99	55.2	516	Namibia	NAM	Africa	4919.188931
1.65	100	520	Nauru	NRU	Oceania	12390.37011
73.72	89.9	524	Nepal	NPL	Asia	1226.707742
12.22	100	528	Netherlands (Kingdom of the)	NLD	Europe	58833.06043
8.33	100	540	New Caledonia	NCL	Oceania	34994.26583
28.85	100	554	New Zealand	NZL	Oceania	49364.70733
50.36	86.3	558	Nicaragua	NIC	North America	2064.924166
79.58	18.6	562	Niger	NER	Africa	590.6294773
80.31	59.5	566	Nigeria	NGA	Africa	2019.313776
3.01	99.5	570	Niue	NIU	Oceania	-100
0.48	100	580	Northern Mariana Islands	MNP	Oceania	-100
61.36	100	578	Norway	NOR	Europe	90744.30108
0.1	100	512	Oman	OMN	Asia	19509.46649
41.56	94.9	586	Pakistan	PAK	Asia	1480.110716
0.87	100	585	Palau	PLW	Oceania	12084.12827
27.96	95.3	591	Panama	PAN	North America	15491.28979
54.5	20.9	598	Papua New Guinea	PNG	Oceania	2624.604163
58.82	100	600	Paraguay	PRY	South America	5959.441763
30.56	95.6	604	Peru	PER	South America	6635.463923
28.03	97.5	608	Philippines	PHL	Asia	3460.539401
15.2	100	616	Poland	POL	Europe	17786.12848
32.33	100	620	Portugal	PRT	Europe	24833.06915
2.57	100	630	Puerto Rico	PRI	North America	32668.30015
0.03	100	634	Qatar	QAT	Asia	66858.74172
3.65	100	410	Republic of Korea	KOR	Asia	35084.45462
21.43	100	498	Republic of Moldova	MDA	Europe	4472.265979
23.58	100	642	Romania	ROU	Europe	14786.94302
3.54	100	643	Russian Federation	RUS	Europe	12659.24157
79.37	48.7	646	Rwanda	RWA	Africa	822.3157487
1.64	100	659	Saint Kitts and Nevis	KNA	North America	18082.68799
9.67	100	662	Saint Lucia	LCA	North America	9870.784445
-100	100	663	Saint Martin (French Part)	MAF	North America	-100
4.98	100	670	Saint Vincent and the Grenadines	VCT	North America	8360.099739
